"boxID","magnification","imageName","colony.id","formation","zh","oh","ow.m","ow.b","o.side","mpw.b","cw.m","cw.b","cw.d","c.side","zh.zw","oh.ow","ln.zh","ln.mpw.b","ln.cw.m","ln.cw.d","ln.ow.m","ln.oh","ln.o.side","ln.c.side","zooid.id"
"241_441_222_253","x30","273_S_1_15kv_x30_BSE","273S","NKBS",335.31255684482,0.14881963744109,212.147309306775,172.755806314223,146.59019220467,79.8243341415698,167.188673752158,107.273418898647,196.930446940971,131.592567051234,1.70269535286907,0.000701491986522863,5.81506310235289,4.3798283970887,5.11912295763934,5.28285060518386,5.35728088859253,-1.90502019324036,4.98764088547285,4.87971053592248,"241_441_222_253_273_S_1_15kv_x30_BSE"
"474_463_199_274","x30","273_S_1_15kv_x30_BSE","273S","NKBS",362.691105008218,0.153395588373893,209.200316722647,169.011057809497,151.934947502536,73.5203610889289,176.660165149651,106.649693940967,201.198361701437,146.97881481619,1.80265436527969,0.000733247400276462,5.89355152161046,4.29756238947347,5.17422791616117,5.30429129555544,5.34329224616021,-1.87473514943324,5.023452452281,4.99028845949623,"474_463_199_274_273_S_1_15kv_x30_BSE"
"340_611_206_274","x30","273_S_1_15kv_x30_BSE","273S","NKBS",342.046210989296,0.152111639240484,203.399155183973,167.481587752046,146.767830449744,71.1295777632089,193.920720071585,120.190480096569,209.804708390809,144.475547478045,1.63030760183016,0.000747847940188838,5.83494584778648,4.26450325259971,5.26744941611449,5.34617713799259,5.31517033013471,-1.8831405590386,4.98885195354032,4.97311027162767,"340_611_206_274_273_S_1_15kv_x30_BSE"
"179_132_194_249","x30","273_S_1_15kv_x30_BSE","273S","NKBS",300.697015839665,0.159261954709052,195.814174039366,156.008244881828,144.371528011266,68.9326685617341,172.187425224364,119.747871660242,196.729846844605,105.142969897052,1.52847684610452,0.000813332106781171,5.70610316590023,4.23313021023109,5.14858356507847,5.28183145178233,5.27716611787148,-1.83720491853073,4.97239003258007,4.65532104206343,"179_132_194_249_273_S_1_15kv_x30_BSE"
"229_750_213_229","x30","273_S_1_15kv_x30_BSE","273S","NKBS",295.577675677325,0.167650860946666,178.492637399207,143.573839829414,132.751326143704,72.6072607260726,178.286565399694,123.861346566305,170.039076004137,113.008983069925,1.73829264792131,0.000939259251190886,5.68893166415623,4.28506492683108,5.18339217373915,5.13602826948463,5.18454735330575,-1.78587167070184,4.88847764985523,4.72746731174672,"229_750_213_229_273_S_1_15kv_x30_BSE"
"322_304_199_255","x30","273_S_1_15kv_x30_BSE","273S","NKBS",364.342833485998,0.161349475302838,203.04407148874,159.255886025674,158.299875017536,74.7143988295166,159.255886025674,96.6157172825376,188.328584331903,138.893960043568,1.93461250069131,0.000794652481699206,5.89809527461037,4.31367282897905,5.07051225468398,5.23818822622361,5.31342305640854,-1.82418261240865,5.06449117735751,4.93371076460726,"322_304_199_255_273_S_1_15kv_x30_BSE"
"90_603_190_261","x30","273_S_1_15kv_x30_BSE","273S","NKBS",353.170011558346,0.147511044559158,208.574591542244,174.948624167638,147.16916217865,77.6279438042183,171.648892725358,107.374907491732,211.453049236189,145.733999204287,1.67020533794176,0.000707234009034519,5.86694956013748,4.35192746293835,5.14545106911306,5.35400298441603,5.34029673046065,-1.91385222763833,4.99158268827846,4.98178303672919,"90_603_190_261_273_S_1_15kv_x30_BSE"
"436_774_227_267","x30","273_S_1_15kv_x30_BSE","273S","NKBS",302.137959476193,0.15537486848353,206.112150342675,161.488692975099,140.736132467333,70.8803022934473,214.711771377217,128.352716056964,205.377604841215,117.093540651151,1.47113391311476,0.000753836531350571,5.71088373252222,4.26099257115014,5.36929653047641,5.32485025961828,5.32842043978645,-1.86191457559712,4.94688673617882,4.76297310811855,"436_774_227_267_273_S_1_15kv_x30_BSE"
"80_294_182_258","x30","273_S_1_15kv_x30_BSE","273S","NKBS",341.584158415842,0.154598599834595,189.797673250023,166.870770035737,149.673133391354,77.6279438042183,188.126049307829,110.573370084165,209.674878732095,135.597487753435,1.62911341826643,0.000814544231166313,5.83359408617819,4.35192746293835,5.23711221320362,5.34555813450901,5.24595862714401,-1.86692319956714,5.00845380565534,4.9096908484426,"80_294_182_258_273_S_1_15kv_x30_BSE"
"569_319_187_276","x30","273_S_1_15kv_x30_BSE","273S","NKBS",356.473839782043,0.159455021985407,207.81599328622,158.58764061695,142.845372258064,64.4410039266226,166.862610694362,89.4900783033416,189.086158556188,145.49026679824,1.8852455542171,0.000767289463452381,5.87626085646632,4.16575013743358,5.11717078336832,5.24220277656124,5.33665304050724,-1.83599339034687,4.96176273233868,4.98010918951653,"569_319_187_276_273_S_1_15kv_x30_BSE"
"536_959_200_249","x30","273_S_1_15kv_x30_BSE","273S","NKBS",316.9390975784,0.158778201750979,185.289357724333,155.545013125716,133.22061246455,66.0890574075934,160.371930443027,84.738825587246,181.518151815182,121.057778185062,1.74604630120464,0.000856920244643538,5.75870963421585,4.19100318712605,5.07749568288063,5.20135565870524,5.22191869896165,-1.84024700816195,4.89200649436638,4.79626793728886,"536_959_200_249_273_S_1_15kv_x30_BSE"
"598_636_197_229","x30","273_S_1_15kv_x30_BSE","273S","NKBS",288.948559295718,0.166838622689125,173.298755596841,145.252020360828,138.881924064413,70.9762810812098,198.129782439652,130.404805941454,191.532912588078,100.70462704343,1.50861048052429,0.000962722566094213,5.6662486767528,4.26234575194901,5.28892228283688,5.25505966115388,5.1550170160659,-1.79072826496723,4.93362410496651,4.61219174746165,"598_636_197_229_273_S_1_15kv_x30_BSE"
